ReviewID,ReviewTime,R_Ovrall,CEO,Outlook,WorkLife,Culture,Diversity,Senior,Recommend,Career,Compens,EmployerID,Current,Length,Status,JobEnd,Title,Location,pro,cons,summary,advice,helpful,nothelpful,spgroup
68146377,"""2022-08-20T16:57:44.917""",1,"""DISAPPROVE""","""NEGATIVE""",1,1,3,1,"""NEGATIVE""",3,3,8876,FALSE,0,"""REGULAR""",2019,"{""__ref"":""JobTitle:19567""}",null,"Hardly any pros, have to be honest.","Rude, agressive management. It’s a man’s world- they know it and they show it. Sickening company full of scandal. Felt like a scum bag leaving work every day knowing I was paid to get over on people.",SOS,null,0,0,sp500
68145079,"""2022-08-20T15:19:35.943""",5,"""APPROVE""","""POSITIVE""",5,4,4,5,"""POSITIVE""",4,4,8876,TRUE,4,"""REGULAR""",null,null,null,Good job and good culture,Nothing bad to be told it’s great,Good job,null,0,0,sp500
68143075,"""2022-08-20T13:09:41.350""",1,"""DISAPPROVE""","""NEGATIVE""",1,1,1,1,"""NEGATIVE""",1,2,8876,FALSE,1,"""REGULAR""",2022,"{""__ref"":""JobTitle:20850""}","{""__ref"":""City:1155666""}",The benefits the company offers,"Manager Fraternizing with employees, favoritism , no sense of team work.",Favoritism Hostile working environment,"""Managers should be more concerned with employees problems and address it then.""",0,0,sp500
68142597,"""2022-08-20T12:40:31.747""",5,"""APPROVE""","""POSITIVE""",5,4,4,4,"""POSITIVE""",5,4,8876,TRUE,4,"""REGULAR""",null,"{""__ref"":""JobTitle:25920""}","{""__ref"":""City:2865319""}",Good work life balance and flexibility.,No issues except that india resources wont have much to contribute,Giod,"""Give more responsibility to india team members""",0,0,sp500
68141860,"""2022-08-20T12:01:02.987""",3,null,null,0,0,0,0,null,0,0,8876,TRUE,0,"""REGULAR""",null,"{""__ref"":""JobTitle:636970""}",null,Benefits. Salary. Incentives. Woke. Compliant.,WFH no longer allowed starting this month,Confidential,null,0,0,sp500
68127111,"""2022-08-19T20:59:54.467""",5,"""APPROVE""","""POSITIVE""",5,5,5,5,"""POSITIVE""",5,5,8876,TRUE,1,"""REGULAR""",null,"{""__ref"":""JobTitle:462199""}","{""__ref"":""City:1139977""}","Great team environment, veteran friendly and value what we bring to the table, very competitive compensation, 6% 401k match, great benefits, performance bonus, annual salary review.",I haven't found any yet.,Excellent Military Friendly Company,"""None yet, but so far my managers have been awesome!""",0,0,sp500
68122911,"""2022-08-19T16:50:31.607""",3,null,null,0,0,0,0,null,0,0,8876,TRUE,0,"""PART_TIME""",null,"{""__ref"":""JobTitle:19561""}","{""__ref"":""City:1146821""}","Flexible management, and they would work with you.","Extremely busy branch, so it was always full of customers.",Not bad for a part time job.,null,0,0,sp500
68122119,"""2022-08-19T16:07:55.450""",4,null,null,0,0,0,0,null,0,0,8876,FALSE,0,"""REGULAR""",2021,"{""__ref"":""JobTitle:47221""}",null,Enjoyed working for Wells Fargo for three years.,"Room for growth was minimal, lots\nOf changes",Good company,null,0,0,sp500
68121675,"""2022-08-19T15:44:46.777""",5,"""APPROVE""","""POSITIVE""",5,5,5,4,"""POSITIVE""",5,5,8876,TRUE,0,"""REGULAR""",null,"{""__ref"":""JobTitle:51994""}",null,"benefits, programs for help, helps with reaching goals as well as aspiring new ones. Wells has taught me a lot from way back in 2001, Learn about loan process and got better with typing skills to now being able to use programs like excel, one note and outlook.  Improved my researching skills to better customer experience.  Job showing other peer to learn a different task, classes online or in person.","There is no real con, Covid has changed a lot of business.",Worked a long time there.,"""I believe that management is great, There is always manager you can talk to even if it is home life, or ideas to move you up in career.""",0,0,sp500
68117325,"""2022-08-19T12:53:56.440""",2,"""DISAPPROVE""","""NEGATIVE""",4,2,2,1,"""NEGATIVE""",3,3,8876,FALSE,2,"""REGULAR""",2018,"{""__ref"":""JobTitle:1670""}","{""__ref"":""City:1141041""}",Benefits package\nConsistent Schedule\nLife\u002FWorkplace balance,Sales pressure\nEasily fired if not meeting sales goals,Just Another Call Center,null,0,0,sp500
66184534,"""2022-07-01T06:25:33.227""",1,"""DISAPPROVE""","""NEUTRAL""",3,1,1,2,"""NEGATIVE""",2,3,8876,FALSE,1,"""REGULAR""",2021,"{""__ref"":""JobTitle:3076977""}","{""__ref"":""City:1138644""}","Benefits, resume experience, facilities, job security","Culture, treated like a number, narcissistic management","Go work for a real financial institution, not whatever this is...","""Unfortunately, if I was to elaborate on the culture here, I'd be hunted down.""",0,0,sp500
66180410,"""2022-07-01T03:59:05.253""",5,"""APPROVE""","""POSITIVE""",4,5,5,4,"""POSITIVE""",4,5,8876,FALSE,6,"""REGULAR""",2022,"{""__ref"":""JobTitle:6203987""}","{""__ref"":""City:2340354""}",Good environment. Pro-employee. Great compensation and benefits,None. So far this is one of the best in-house companies in the Philippines,Good,null,0,0,sp500
66177917,"""2022-07-01T02:22:50.023""",4,null,null,0,0,0,0,null,0,0,8876,FALSE,0,"""REGULAR""",2022,"{""__ref"":""JobTitle:60210""}",null,"Pay, advancement, diversity, flexibility, acknowledges achievements",The ability to do remote work from anywhere,Review,null,0,0,sp500
66177851,"""2022-07-01T02:19:28.797""",3,null,null,5,4,5,3,null,5,3,8876,TRUE,0,"""REGULAR""",null,"{""__ref"":""JobTitle:19561""}","{""__ref"":""City:1147311""}",Benefits and pto are great,High Turnover ratio. Hard to get workers,Alright ko,"""Every six months""",0,0,sp500
66171051,"""2022-06-30T21:05:55.813""",5,null,null,5,5,5,5,null,5,5,8876,FALSE,2,"""REGULAR""",2019,"{""__ref"":""JobTitle:20850""}",null,Amazing experience and wonderful managers,There were no cons from what I can remember.,Wells Fargo teller,null,0,0,sp500
66170398,"""2022-06-30T20:39:10.373""",4,"""DISAPPROVE""","""NEUTRAL""",3,2,4,1,"""NEGATIVE""",3,3,8876,TRUE,20,"""REGULAR""",null,"{""__ref"":""JobTitle:1379681""}",null,"Great Co-Workers, company investing in the role.",Difficult to build a book of business. To be successful you rely on a financial advisor to be consistent,Difficult to succeed but good experience.,"""Branches are too short staffed. We need help.""",0,0,sp500
66170304,"""2022-06-30T20:35:24.810""",4,null,null,0,0,0,0,null,0,0,8876,TRUE,0,"""REGULAR""",null,"{""__ref"":""JobTitle:65295""}",null,Good employer with many opps,Stressful sometimes but not more than at other banks,Ok,null,0,0,sp500
66169295,"""2022-06-30T19:48:17.077""",5,"""DISAPPROVE""","""NEUTRAL""",4,4,5,4,"""POSITIVE""",5,4,8876,FALSE,6,"""REGULAR""",2021,"{""__ref"":""JobTitle:47221""}",null,The people. The ability to move up in company. Training,Inconsistenty with management from branch to branch.,Company,null,0,0,sp500
66166897,"""2022-06-30T18:11:45.507""",4,"""APPROVE""","""POSITIVE""",3,3,5,3,"""POSITIVE""",4,5,8876,FALSE,6,"""REGULAR""",2021,"{""__ref"":""JobTitle:49896""}",null,"Benefits, Retirement, Cash aids, Incentives, Facilities","BPO-like culture, Planning, Split offs, Micromanaging",Review,null,0,0,sp500
66165950,"""2022-06-30T17:34:42.633""",5,null,null,0,0,0,0,null,0,0,8876,FALSE,0,"""PART_TIME""",2021,"{""__ref"":""JobTitle:20850""}","{""__ref"":""City:1148118""}",Flexible\nAccommodating \nFast pace \nFriendly,Not very many hours available,Nice,null,0,0,sp500
45460083,"""2021-04-13T14:47:17.857""",4,"""NO_OPINION""","""POSITIVE""",5,5,5,4,"""POSITIVE""",3,4,8876,TRUE,1,"""REGULAR""",null,"{""__ref"":""JobTitle:20687""}","{""__ref"":""City:1140006""}",Everyone is willing to help,You bounce around where you are needed and might not get experience with what you like,Great team to work with,null,0,0,sp500
45459787,"""2021-04-13T14:39:01.447""",4,null,null,0,0,0,0,null,0,0,8876,TRUE,2,"""REGULAR""",null,"{""__ref"":""JobTitle:61011""}","{""__ref"":""City:1138644""}",Positive environment\r\nGreat benefits \r\nManagement\r\nCommute\r\nGreat culture\r\nFinancial security,Too much work load\r\nToxicity in some department,Gr8 pay scale,null,0,0,sp500
45457047,"""2021-04-13T13:45:03.957""",3,"""DISAPPROVE""","""NEGATIVE""",4,2,4,1,"""NEGATIVE""",3,5,8876,TRUE,6,"""REGULAR""",null,"{""__ref"":""JobTitle:47221""}",null,"Good benefits, 401k matching, competitive salary, full paid training, tuition reimbursement","Changing structure, being a banker doesn't mean what it used to anymore",Be ready for changes,null,0,0,sp500
45452524,"""2021-04-13T12:13:26.917""",5,"""APPROVE""","""POSITIVE""",5,5,5,5,"""POSITIVE""",5,5,8876,TRUE,4,"""REGULAR""",null,"{""__ref"":""JobTitle:62429""}",null,Excellent job. Great training and resources.,I have none at this time for cons.,Small Busines Development Officer,null,0,0,sp500
45450696,"""2021-04-13T11:41:54.230""",4,null,null,0,0,0,0,null,0,0,8876,TRUE,0,"""REGULAR""",null,"{""__ref"":""JobTitle:755871""}","{""__ref"":""City:1138644""}",Benefits are good. Advancement if you can navigate,Low pay compared to other banks,Company,null,0,0,sp500
45449639,"""2021-04-13T11:23:34.250""",2,null,"""NEGATIVE""",4,2,3,3,"""NEGATIVE""",3,4,8876,FALSE,4,"""REGULAR""",2020,"{""__ref"":""JobTitle:57642""}","{""__ref"":""City:1138644""}","Good pay, flexible remote work, good PTO","Constant lay offs, no incentives, lack of communication",They don’t care about you as an individual,"""I had worked for Wells for two years and went out on maternity leave shortly after. During my maternity leave I was laid off. While I knew lay offs were happening, I never imagined I’d get a call after just having a baby to let me know I had lost my job and my mat leave was taken from me. I got no apology, or any information due to the unique situation I was put in. HR had zero knowledge of what this included and how I should deal with it as far as my benefits and time off. Not only this specifically but they laid off senior leaders, placing work in hands of those that had zero experience in that department with an amount of work for three people.  You’re never appreciated, and you’re easily replaced. While they put on this front with good pay, benefits and PTO, they really do not care about anyone’s well being. They really did a lot of people dirty in the last few years.""",6,0,sp500
45449420,"""2021-04-13T11:17:20.507""",3,"""APPROVE""","""NEGATIVE""",2,2,2,2,"""NEGATIVE""",3,3,8876,FALSE,4,"""REGULAR""",2020,"{""__ref"":""JobTitle:12325""}","{""__ref"":""City:1138644""}",The location to my house and work from home options.,The management was awful and you are just a number.,Business Development Associate,null,0,0,sp500
45448250,"""2021-04-13T10:54:55.037""",4,null,null,4,4,4,3,null,3,4,8876,FALSE,0,"""REGULAR""",2019,"{""__ref"":""JobTitle:37856""}",null,A good place to work. Process oriented company.,A lot of organizational changes. Big impact on their team members. Advantage for the senior leaderships only.,A good place to work,null,0,0,sp500
45443986,"""2021-04-13T09:40:19.937""",4,"""APPROVE""","""POSITIVE""",4,5,5,3,"""POSITIVE""",4,4,8876,FALSE,6,"""REGULAR""",2021,"{""__ref"":""JobTitle:241897""}","{""__ref"":""City:2865319""}","A lot benefits - like free transportation, gym, indoor sport area, leaves, wfh... Many more",It's depends on projects but little less opportunity to learn new things.,Good company for freshers,null,0,0,sp500
45441854,"""2021-04-13T09:07:37.357""",2,"""DISAPPROVE""","""NEGATIVE""",0,0,0,0,"""NEGATIVE""",0,0,8876,FALSE,0,"""REGULAR""",2021,"{""__ref"":""JobTitle:61585""}",null,There are some good people trying to make a difference,Sooo many org changes and leadership changes that limit growth.,Confused,null,0,0,sp500
45441854,"""2021-04-13T09:07:37.357""",2,"""DISAPPROVE""","""NEGATIVE""",0,0,0,0,"""NEGATIVE""",0,0,8876,FALSE,0,"""REGULAR""",2021,"{""__ref"":""JobTitle:61585""}",null,There are some good people trying to make a difference,Sooo many org changes and leadership changes that limit growth.,Confused,null,0,0,sp500
45441543,"""2021-04-13T09:01:56.147""",3,"""NO_OPINION""","""POSITIVE""",3,3,5,4,"""POSITIVE""",4,3,8876,FALSE,4,"""PART_TIME""",2017,"{""__ref"":""JobTitle:14071""}",null,I enjoyed working with my team,Not very flexible with schedules,Good company to work at,null,0,0,sp500
45440375,"""2021-04-13T08:40:14.777""",2,null,"""POSITIVE""",2,2,3,1,"""NEGATIVE""",1,2,8876,TRUE,20,"""REGULAR""",null,"{""__ref"":""JobTitle:43918""}",null,"A combination of many firms, with friendly people","Too many layers of management, run by lawyers and compliance",Too many layers of mgt,"""think more about the client and not the company""",0,0,sp500
45437415,"""2021-04-13T07:48:03.863""",5,null,null,0,0,0,0,null,0,0,8876,TRUE,0,"""REGULAR""",null,null,null,"friendly,career growth,incentives,well paying,work life balance",micro management is more which makes employees to quit the job,employee satisfaction,null,0,0,sp500
45436059,"""2021-04-13T07:26:53.403""",3,null,null,0,0,0,0,null,0,0,8876,TRUE,0,"""REGULAR""",null,"{""__ref"":""JobTitle:7967""}","{""__ref"":""City:1147436""}",best bank for being customer,the salary is not enough,assass,null,0,0,sp500
45432622,"""2021-04-13T06:25:25.353""",2,null,null,0,0,0,0,null,0,0,8876,TRUE,0,"""REGULAR""",null,"{""__ref"":""JobTitle:37856""}","{""__ref"":""City:1141435""}",Pay and work from home was great,Culture needs to change within the bank,It’s ok,null,0,0,sp500
45431443,"""2021-04-13T05:39:53.903""",4,"""NO_OPINION""","""NEUTRAL""",3,3,5,3,"""NEGATIVE""",5,4,8876,TRUE,9,"""REGULAR""",null,"{""__ref"":""JobTitle:29236""}",null,Big organization provides many opportunities,Leadership and priority changes happen often.,Good for a time.,null,0,0,sp500
45426870,"""2021-04-13T04:02:03.800""",2,null,null,0,0,0,0,null,0,0,8876,FALSE,0,"""REGULAR""",2017,"{""__ref"":""JobTitle:3985""}",null,Good opportunity to advance if you know a lot of people,Dont give you proper tools to advance unless you know peoplep,Lead teller,null,0,0,sp500
45416426,"""2021-04-12T21:56:04.663""",4,null,null,0,0,0,0,null,0,0,8876,TRUE,0,"""REGULAR""",null,"{""__ref"":""JobTitle:3758741""}","{""__ref"":""City:1138644""}","Advancement opportunities, Good compensation package, Paid Time off.",There are really not many cons that come to mind.,Good company,null,0,0,sp500
45415782,"""2021-04-12T21:33:30.453""",4,"""NO_OPINION""","""NEUTRAL""",4,4,5,3,"""POSITIVE""",3,5,8876,TRUE,4,"""REGULAR""",null,"{""__ref"":""JobTitle:20850""}","{""__ref"":""City:1150585""}",Very generous benefits and leave options,The industry is being replaced by digital options.,Great benefits,null,0,0,sp500
45414921,"""2021-04-12T20:44:32.463""",2,"""APPROVE""","""NEGATIVE""",3,1,1,1,"""NEGATIVE""",1,2,8876,TRUE,2,"""REGULAR""",null,"{""__ref"":""JobTitle:28781""}","{""__ref"":""City:1153546""}","Nice break room, Good Coffee, helpful coworkers",Terrible pay. The pay for this position is severely lower than what other companies offer. The position is essentially a dead end job with hardly any path to upward mobility. The equipment is severely outdated. Management consistently apologized on the poor equipment they provided. For diverse candidates - there is little to no diversity. Management is extremely distracting and unprofessional.,"Well’s Fargo through Aerotek, Columbia MD","""Wells Fargo is a top tier company in the banking industry - behave like it is. Establish a more professional dress code. This is Well’s Fargo, not Dick’s Sporting Goods or Academy Sports - Employees should not be attending work in jeans, Nike hyper-drunks and Georgia Polos every day of the week - especially managers. Be honest and upfront with the people you hire from aerotek. You all let go of too many people after their 3 month contract is up, resulting in an extreme amount of work and training on your current employees. Instead of having horrifically high turnover, work with the employees who come your way. - high employee turnover is literally described as poor hiring decisions and terrible management.""",0,0,sp500
45413039,"""2021-04-12T20:05:02.230""",5,null,null,0,0,0,0,null,0,0,8876,TRUE,0,"""REGULAR""",null,"{""__ref"":""JobTitle:9628""}","{""__ref"":""City:1149246""}",Friendly work environment. Good PTO,No cons of working at WF,Pros\u002Fcons of Wells Fargo,null,0,0,sp500
45410364,"""2021-04-12T18:46:06.900""",5,null,null,0,0,0,0,null,0,0,8876,FALSE,0,"""REGULAR""",2020,"{""__ref"":""JobTitle:47221""}","{""__ref"":""City:1140494""}",Stable for the time being.,Low pay and long hours,Banker,null,0,0,sp500
45409891,"""2021-04-12T18:33:05.037""",4,null,null,0,0,0,0,null,0,0,8876,TRUE,6,"""REGULAR""",null,"{""__ref"":""JobTitle:30828""}","{""__ref"":""City:1154182""}",There are no sales goal pressure,Commission break down is not the greatest,Business banker,null,0,0,sp500
45408107,"""2021-04-12T17:45:23.250""",1,null,null,0,0,0,0,null,0,0,8876,TRUE,0,"""REGULAR""",null,"{""__ref"":""JobTitle:47221""}","{""__ref"":""City:1149562""}","Room to move up, great benefits and pay.",Company doesn’t value their employees,Great Terrible company,null,0,0,sp500
45407923,"""2021-04-12T17:35:48.743""",5,"""APPROVE""","""POSITIVE""",5,5,5,5,"""POSITIVE""",4,5,8876,TRUE,4,"""REGULAR""",null,"{""__ref"":""JobTitle:480175""}","{""__ref"":""City:1147401""}","Great benefits, pay, nice people working here and professional.",no cons here since its a great place to work,Good place to work,null,0,0,sp500
45407460,"""2021-04-12T17:23:32.477""",5,"""APPROVE""","""POSITIVE""",5,5,5,5,"""POSITIVE""",5,5,8876,TRUE,2,"""REGULAR""",null,"{""__ref"":""JobTitle:8622""}","{""__ref"":""City:2940587""}","Company is very good, employees are their first priorities","I have not seen any cons, everything is good",Good,null,0,0,sp500
45404488,"""2021-04-12T16:04:37.650""",3,null,null,0,0,0,0,null,0,0,8876,TRUE,0,"""REGULAR""",null,"{""__ref"":""JobTitle:37856""}","{""__ref"":""City:1147401""}",Good work life balance and stable,Hard to promote and average salary,Good work life balance,null,0,0,sp500
45404002,"""2021-04-12T15:52:26.210""",3,"""NO_OPINION""","""NEUTRAL""",3,3,3,2,"""POSITIVE""",4,3,8876,FALSE,1,"""PART_TIME""",2017,"{""__ref"":""JobTitle:19561""}","{""__ref"":""City:1155689""}","Good 401k plan, great entry-level job to see if you like business and finance.",Hours are not flexible if you are a student.,Opportunity to grow,null,0,0,sp500
45402617,"""2021-04-12T15:18:38.437""",3,"""NO_OPINION""","""NEGATIVE""",1,1,3,1,"""NEGATIVE""",1,3,8876,TRUE,4,"""REGULAR""",null,"{""__ref"":""JobTitle:12050""}","{""__ref"":""City:1126906""}",You are off on Sunday’s,"High pressure, stressful atmosphere to be in",It’s Ok,null,0,0,sp500
45398723,"""2021-04-12T13:51:49.073""",3,"""NO_OPINION""","""NEUTRAL""",4,4,3,2,"""POSITIVE""",1,3,8876,FALSE,4,"""REGULAR""",2019,"{""__ref"":""JobTitle:47221""}",null,Great culture great people to work with,Limited upward mobility and low salary compared to competitors,Decent place to work but not a lot of upward mobility,null,0,0,sp500
45397651,"""2021-04-12T13:32:53.143""",5,null,null,0,0,0,0,null,0,0,8876,TRUE,0,"""REGULAR""",null,"{""__ref"":""JobTitle:20850""}","{""__ref"":""City:1154093""}",Great company to work for,6 days a week sometimes,Wells Fargo,null,0,0,sp500
45397570,"""2021-04-12T13:30:40.737""",1,"""DISAPPROVE""","""NEGATIVE""",1,3,5,5,"""NEGATIVE""",1,1,8876,FALSE,0,"""REGULAR""",2018,"{""__ref"":""JobTitle:12050""}",null,"you may have a good manager, but it depends.....on luck.",terrible salaries and no growth.,Terrible Salaries and No Growth,null,0,0,sp500
45396413,"""2021-04-12T12:44:30.450""",4,"""APPROVE""","""NEGATIVE""",3,5,5,3,"""NEGATIVE""",4,4,8876,TRUE,4,"""REGULAR""",null,"{""__ref"":""JobTitle:332122""}","{""__ref"":""City:2940587""}","Gym facilities, free snaks\u002Ftea\u002Fcoffee, lot of exposure towards a career growth,shift allowances, sports grounds, work life balance","Cab facility at night time is worst sometimes you need to wait for longer time for a cab, No free meals, low salary, lot of cost cutting towards team, pressure to team member towards the desired target applicable to some teams.",Best place work for the career growth,"""Need to improve towards a cost cutting involved in every section of the ground""",0,0,sp500
45388404,"""2021-04-12T10:43:15.570""",5,"""NO_OPINION""","""NEUTRAL""",4,4,4,4,"""POSITIVE""",3,3,8876,TRUE,0,"""REGULAR""",null,"{""__ref"":""JobTitle:17676""}",null,great people to work with,Slow to update on the latest tools and methodologies,Great people,null,0,0,sp500
45386355,"""2021-04-12T10:08:32.413""",5,"""APPROVE""","""POSITIVE""",5,5,5,5,"""POSITIVE""",5,5,8876,TRUE,0,"""REGULAR""",null,"{""__ref"":""JobTitle:49735""}","{""__ref"":""City:1147229""}",Great place to work at,Always changes within the company,Happy,null,0,0,sp500
45386097,"""2021-04-12T09:58:17.330""",3,"""APPROVE""","""NEGATIVE""",3,3,4,2,"""NEGATIVE""",2,3,8876,TRUE,2,"""REGULAR""",null,"{""__ref"":""JobTitle:11114""}","{""__ref"":""City:2940587""}","Starting package is good, they don't make you work long hours and leaves are available","You cannot work from home from anywhere except your Base location. Example- Bangalore\r\n\r\nThe IT infrastructure is way older and needs update big time \r\n\r\nNo decisions are taken by the India heads, they just follow whatever is told by US",There are better places to work for,"""Be more Employee centric for India and Philippines""",0,0,sp500
45384705,"""2021-04-12T09:37:28.367""",1,"""NO_OPINION""","""NEGATIVE""",3,1,1,1,"""NEGATIVE""",3,1,8876,TRUE,6,"""REGULAR""",null,"{""__ref"":""JobTitle:17959""}","{""__ref"":""City:1147401""}",I don't think there are any pros,"Below market compensation, I don't recommend anyone joining Wellsfargo","Below market compensation, annual raise was also low",null,1,0,sp500
45383936,"""2021-04-12T09:27:00.787""",2,null,null,1,0,5,5,null,3,2,8876,TRUE,0,"""REGULAR""",null,"{""__ref"":""JobTitle:6097""}","{""__ref"":""City:1138644""}","Good benefits for everybody, consistent pay","Very micro managed, I was given misleading information, hours are bad, you’re forced to work on Saturdays",Not for everybody,null,0,0,sp500
45384092,"""2021-04-12T09:26:13.673""",3,"""NO_OPINION""","""NEUTRAL""",3,1,2,3,"""POSITIVE""",2,3,8876,FALSE,4,"""REGULAR""",2017,"{""__ref"":""JobTitle:19561""}","{""__ref"":""City:1155193""}","interesting, fun, constant, challenging, talked a lot",culture wasn't super healthy. Company picked favorites,pretty good,"""Spend more time building your employees up""",0,0,sp500
45382394,"""2021-04-12T09:00:19.180""",4,"""NO_OPINION""","""POSITIVE""",5,5,5,5,"""POSITIVE""",3,3,8876,TRUE,0,"""REGULAR""",null,"{""__ref"":""JobTitle:60210""}","{""__ref"":""City:1138960""}","Great staff, simple work, and remote",Strict policies and challenging goals to meet,Good,null,0,0,sp500
45381878,"""2021-04-12T08:51:16.947""",4,"""APPROVE""","""NEUTRAL""",5,5,5,3,"""POSITIVE""",4,3,8876,TRUE,4,"""REGULAR""",null,"{""__ref"":""JobTitle:55482""}","{""__ref"":""City:2940587""}",Work life balance is good.,Not so much growth for qa,Good,null,0,0,sp500
45379673,"""2021-04-12T08:14:04.703""",5,"""APPROVE""","""POSITIVE""",5,5,5,5,"""POSITIVE""",5,5,8876,FALSE,0,"""REGULAR""",2020,"{""__ref"":""JobTitle:51969""}","{""__ref"":""City:1153546""}",Ideal company for career growth,Heavy Work load on daily basis,Perfect working environment,null,1,0,sp500
45360025,"""2021-04-11T23:05:37.100""",5,null,null,0,0,0,0,null,0,0,8876,FALSE,0,"""REGULAR""",2017,"{""__ref"":""JobTitle:8622""}","{""__ref"":""City:1147401""}",Great experience at Wells fargo,Long hours at the office,Analyst,null,0,0,sp500
45353871,"""2021-04-11T18:59:50.377""",4,null,null,0,0,0,0,null,0,0,8876,TRUE,0,"""PART_TIME""",null,"{""__ref"":""JobTitle:63697""}","{""__ref"":""City:1130361""}",great place to work at,nothing that i can think of,job,null,0,0,sp500
45352882,"""2021-04-11T18:17:05.807""",4,null,"""NEUTRAL""",1,3,3,3,"""POSITIVE""",5,3,8876,FALSE,0,"""REGULAR""",2021,"{""__ref"":""JobTitle:268832""}","{""__ref"":""City:1140065""}",Not sure if it was just the work site I worked at but all most everything about the company made me feel like I was doing something productive with my time.,None in my eyes maybe the pay is lower than most banks but that's about it.,Good experience.,null,0,0,sp500
45348264,"""2021-04-11T15:06:54.870""",3,"""APPROVE""","""POSITIVE""",3,2,5,3,"""POSITIVE""",5,5,8876,TRUE,6,"""REGULAR""",null,"{""__ref"":""JobTitle:133848""}","{""__ref"":""City:1142551""}",Generous PTO and benefits. No collections calls. Company really steps up for their employees when the chips are down. Plenty of room for advancement. No sales goals. Management generally pretty good.,"Company has been schizophrenic since the scandal in 2016. Many lending products shut down, cutting potential bonus amounts. High turnover leads to being understaffed. Few decisions made at local level. Bank is heading in the right direction, but it will be 2-3 years before we're there.","Means well, but clumsy","""Measure twice, cut once. Too many problems when implementing new programs like PPP make us look like idiots. I've seen new procedures rolled out only to see them retracted the same day.""",0,0,sp500
